product,price_per_unit,cost_per_unit,discount_rate,mean_units,std_units,mean_sales,std_sales,mean_profit,std_profit
USB_Cable,8,7,0,500,75,4000,600,500,75
USB_Cable,8,7,15,800,160,5440,1088,240,48
USB_Cable,8,7,20,1200,300,7680,1920,0,0
USB_Cable,8,7,30,2000,600,11200,3360,-1400,420
Phone_Case,15,12,0,400,60,6000,900,1200,180
Phone_Case,15,12,15,650,130,8287,1658,487,97
Phone_Case,15,12,20,900,225,10800,2700,0,0
Phone_Case,15,12,30,1400,420,14700,4410,-1680,504
Screen_Protector,12,10,0,600,90,7200,1080,1200,180
Screen_Protector,12,10,15,950,190,9690,1938,475,95
Screen_Protector,12,10,20,1300,325,12480,3120,0,0
Screen_Protector,12,10,30,2100,630,17640,5292,-2100,630
Premium_Headphones,300,120,0,80,4,24000,1200,14400,720
Premium_Headphones,300,120,15,85,4,21675,1084,13687,684
Premium_Headphones,300,120,20,90,5,21600,1080,12600,630
Premium_Headphones,300,120,30,100,6,21000,1260,9000,540
Luxury_Watch,800,200,0,30,2,24000,1600,18000,1200
Luxury_Watch,800,200,15,32,2,21760,1451,16640,1109
Luxury_Watch,800,200,20,35,2,22400,1344,16800,1008
Luxury_Watch,800,200,30,40,3,22400,1568,16000,1120
Professional_Camera,1200,400,0,25,2,30000,2400,20000,1600
Professional_Camera,1200,400,15,26,2,26520,2122,18720,1498
Professional_Camera,1200,400,20,28,2,26880,1881,18880,1319
Professional_Camera,1200,400,30,32,3,26880,2151,17920,1434
Gaming_Laptop,1500,900,0,40,6,60000,9000,24000,3600
Gaming_Laptop,1500,900,15,55,11,70125,14025,33825,6765
Gaming_Laptop,1500,900,20,75,19,90000,22500,45000,11250
Gaming_Laptop,1500,900,30,120,36,126000,37800,63000,18900
Office_Chair,250,150,0,100,12,25000,3000,10000,1200
Office_Chair,250,150,15,140,21,29750,4463,11900,1785
Office_Chair,250,150,20,190,38,38000,7600,15200,3040
Office_Chair,250,150,30,300,75,52500,13125,22500,5625
Smart_TV,600,350,0,60,9,36000,5400,15000,2250
Smart_TV,600,350,15,85,17,43350,8670,17850,3570
Smart_TV,600,350,20,120,30,57600,14400,24000,6000
Smart_TV,600,350,30,200,60,84000,25200,35000,10500
Wireless_Router,80,40,0,200,20,16000,1600,8000,800
Wireless_Router,80,40,15,220,33,15028,2254,7348,1102
Wireless_Router,80,40,20,250,38,16000,2400,8000,1200
Wireless_Router,80,40,30,300,60,16800,3360,8400,1680
